Unnamed: 0,#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,full_path,superkingdom,superkingdom_taxid,genus,genus_taxid,species,species_taxid,phylum,phylum_taxid,class,class_taxid,subspecies,subspecies_taxid,subphylum,subphylum_taxid,family,family_taxid,strain,strain_taxid,order,order_taxid,species group,species group_taxid,clade,clade_taxid,biotype,biotype_taxid,forma specialis,forma specialis_taxid,pathogroup,pathogroup_taxid,serotype,serotype_taxid,species subgroup,species subgroup_taxid,tribe,tribe_taxid,suborder,suborder_taxid,subfamily,subfamily_taxid,isolate,isolate_taxid,subclass,subclass_taxid,subgenus,subgenus_taxid,serogroup,serogroup_taxid
16,Escherichia coli str. K-12 substr. MG1655,Bacteria;Proteobacteria;Gammaproteobacteria,K-12 substr. MG1655,SAMN02604091,PRJNA225,GCA_000005845.2,Complete,4.64165,50.8,chromosome:NC_000913.3/U00096.3,,1,4298,1998-10-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2,GCF_000005845.2_ASM584v2,Bacteria,2.0,Escherichia,561.0,Escherichia coli,562.0,Proteobacteria,1224.0,Gammaproteobacteria,1236.0,,,,,Enterobacteriaceae,543.0,Escherichia coli K-12,83333.0,Enterobacterales,91347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Bacillus subtilis subsp. subtilis str. 168,Bacteria;Terrabacteria group;Firmicutes,168,SAMEA3138188,PRJNA76,GCA_000009045.1,Complete,4.21561,43.5,chromosome:NC_000964.3/AL009126.3,,1,4237,1997-11-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/045/GCF_000009045.1_ASM904v1,GCF_000009045.1_ASM904v1,Bacteria,2.0,Bacillus,1386.0,Bacillus subtilis,1423.0,Firmicutes,1239.0,Bacilli,91061.0,Bacillus subtilis subsp. subtilis,135461.0,,,Bacillaceae,186817.0,Bacillus subtilis subsp. subtilis str. 168,224308.0,Bacillales,1385.0,Bacillus subtilis group,653685.0,Terrabacteria group,1783272.0,,,,,,,,,,,,,,,,,,,,,,,,
4,Staphylococcus aureus subsp. aureus NCTC 8325,Bacteria;Terrabacteria group;Firmicutes,NCTC 8325,SAMN02604235,PRJNA237,GCA_000013425.1,Complete,2.82136,32.9,chromosome:NC_007795.1/CP000253.1,,1,2767,2006-02-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1,GCF_000013425.1_ASM1342v1,Bacteria,2.0,Staphylococcus,1279.0,Staphylococcus aureus,1280.0,Firmicutes,1239.0,Bacilli,91061.0,,,,,Staphylococcaceae,90964.0,Staphylococcus aureus subsp. aureus NCTC 8325,93061.0,Bacillales,1385.0,,,Terrabacteria group,1783272.0,,,,,,,,,,,,,,,,,,,,,,,,
34,Pseudomonas aeruginosa PAO1,Bacteria;Proteobacteria;Gammaproteobacteria,PAO1,SAMN02603714,PRJNA331,GCA_000006765.1,Complete,6.2644,66.6,chromosome:NC_002516.2/AE004091.2,,1,5572,2000-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,GCF_000006765.1_ASM676v1,Bacteria,2.0,Pseudomonas,286.0,Pseudomonas aeruginosa,287.0,Proteobacteria,1224.0,Gammaproteobacteria,1236.0,,,,,Pseudomonadaceae,135621.0,Pseudomonas aeruginosa PAO1,208964.0,Pseudomonadales,72274.0,Pseudomonas aeruginosa group,136841.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Mycobacterium tuberculosis H37Rv,Bacteria;Terrabacteria group;Actinobacteria,H37Rv,SAMEA3138326,PRJNA224,GCA_000195955.2,Complete,4.41153,65.6,chromosome:NC_000962.3/AL123456.3,,1,3906,2001-09-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2,GCF_000195955.2_ASM19595v2,Bacteria,2.0,Mycobacterium,1763.0,Mycobacterium tuberculosis,1773.0,Actinobacteria,201174.0,Actinomycetia,1760.0,,,,,Mycobacteriaceae,1762.0,Mycobacterium tuberculosis H37Rv,83332.0,Corynebacteriales,85007.0,Mycobacterium tuberculosis complex,77643.0,Terrabacteria group,1783272.0,,,,,,,,,,,,,,,,,,,,,,,,
2,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Bacteria;Proteobacteria;Gammaproteobacteria,LT2,SAMN02604315,PRJNA241,GCA_000006945.2,Complete,4.95138,52.2171,chromosome:NC_003197.2/AE006468.2; plasmid pSLT:NC_003277.2/AE006471.2,,2,4548,2001-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/945/GCA_000006945.2_ASM694v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2,GCF_000006945.2_ASM694v2,Bacteria,2.0,Salmonella,590.0,Salmonella enterica,28901.0,Proteobacteria,1224.0,Gammaproteobacteria,1236.0,Salmonella enterica subsp. enterica,59201.0,,,Enterobacteriaceae,543.0,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,99287.0,Enterobacterales,91347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Clostridioides difficile,Bacteria;Terrabacteria group;Firmicutes,S-0253,SAMN19491759,PRJNA734443,GCA_018885085.1,Complete,4.09589,28.4934,chromosome:NZ_CP076401.1/CP076401.1; plasmid unnamed:NZ_CP076402.1/CP076402.1,,2,3553,2021-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/885/085/GCA_018885085.1_ASM1888508v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/885/085/GCF_018885085.1_ASM1888508v1,GCF_018885085.1_ASM1888508v1,Bacteria,2.0,Clostridioides,1870884.0,Clostridioides difficile,1496.0,Firmicutes,1239.0,Clostridia,186801.0,,,,,Peptostreptococcaceae,186804.0,,,Eubacteriales,186802.0,,,Terrabacteria group,1783272.0,,,,,,,,,,,,,,,,,,,,,,,,
613,Lactobacillus crispatus,Bacteria;Terrabacteria group;Firmicutes,DC21.1,SAMN11372136,PRJNA531669,GCA_009769205.1,Complete,2.0394,36.9712,chromosome:NZ_CP039266.1/CP039266.1; plasmid pLcDC21.1_1:NZ_CP039267.1/CP039267.1,,2,1871,2019-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/205/GCA_009769205.1_ASM976920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/205/GCF_009769205.1_ASM976920v1,GCF_009769205.1_ASM976920v1,Bacteria,2.0,Lactobacillus,1578.0,Lactobacillus crispatus,47770.0,Firmicutes,1239.0,Bacilli,91061.0,,,,,Lactobacillaceae,33958.0,,,Lactobacillales,186826.0,,,Terrabacteria group,1783272.0,,,,,,,,,,,,,,,,,,,,,,,,
63,Vibrio cholerae,Bacteria;Proteobacteria;Gammaproteobacteria,RFB16,SAMN12572458,PRJNA560225,GCA_008369605.1,Complete,4.13841,47.4023,chromosome 1:NZ_CP043554.1/CP043554.1; chromosome 2:NZ_CP043556.1/CP043556.1; plasmid unnamed:NZ_CP043555.1/CP043555.1,,3,3639,2019-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/369/605/GCA_008369605.1_ASM836960v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/369/605/GCF_008369605.1_ASM836960v1,GCF_008369605.1_ASM836960v1,Bacteria,2.0,Vibrio,662.0,Vibrio cholerae,666.0,Proteobacteria,1224.0,Gammaproteobacteria,1236.0,,,,,Vibrionaceae,641.0,,,Vibrionales,135623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Helicobacter pylori,Bacteria;Proteobacteria;delta/epsilon subdivisions,MT5135,SAMN18350190,PRJNA715181,GCA_017821535.1,Complete,1.62446,39.2704,chromosome:NZ_CP071982.1/CP071982.1; plasmid pMT5135:NZ_CP071983.1/CP071983.1,,2,1434,2021-04-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/821/535/GCA_017821535.1_ASM1782153v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/821/535/GCF_017821535.1_ASM1782153v1,GCF_017821535.1_ASM1782153v1,Bacteria,2.0,Helicobacter,209.0,Helicobacter pylori,210.0,Proteobacteria,1224.0,Epsilonproteobacteria,29547.0,,,delta/epsilon subdivisions,68525.0,Helicobacteraceae,72293.0,,,Campylobacterales,213849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
